"","APC","EGFR","FBXW7","NTRK3","b.scores"
"383",0,0,0,0,-0.115547309982096
"384",0,0,0,1,-0.115547309982096
"385",0,0,0,0,-0.115547309982096
"386",0,1,0,0,-0.115547309982096
"387",0,0,0,0,-0.115547309982096
"388",0,0,0,0,-0.115547309982096
"389",0,0,0,0,-0.115547309982096
"390",0,0,0,0,-0.115547309982096
"391",0,0,0,0,-0.115547309982096
"392",0,0,0,0,-0.115547309982096
"393",0,1,0,0,-0.115547309982096
"394",0,1,0,0,-0.115547309982096
"395",0,0,0,0,-0.115547309982096
"396",0,0,0,0,-0.115547309982096
"397",0,0,0,0,-0.115547309982096
"398",0,0,0,0,-0.115547309982096
"399",0,0,0,0,-0.115547309982096
"400",0,0,0,0,-0.115547309982096
"401",0,0,0,0,-0.115547309982096
"402",0,0,0,0,-0.115547309982096
"403",0,0,0,0,-0.115547309982096
"404",0,0,0,0,-0.115547309982096
"405",0,0,0,0,-0.115547309982096
"406",0,0,0,0,-0.115547309982096
"407",0,1,0,0,-0.115547309982096
"408",0,0,0,0,-0.115547309982096
"409",0,0,0,0,-0.115547309982096
"410",0,0,0,0,-0.115547309982096
"411",0,0,0,0,-0.115547309982096
"412",0,0,0,0,-0.115547309982096
"413",0,0,0,0,-0.115547309982096
"414",0,0,0,0,-0.115547309982096
"415",0,0,0,0,-0.115547309982096
"416",0,0,0,0,-0.115547309982096
"417",0,0,0,0,-0.115547309982096
"418",0,0,0,0,-0.115547309982096
"419",0,0,0,0,-0.115547309982096
"420",0,0,0,0,-0.115547309982096
"421",0,0,0,0,-0.115547309982096
"422",0,0,0,0,-0.115547309982096
"423",0,0,0,0,-0.115547309982096
"424",0,1,0,0,-0.115547309982096
"425",0,1,0,0,-0.115547309982096
"426",0,0,0,0,-0.115547309982096
"427",0,0,0,0,-0.115547309982096
"428",0,0,0,0,-0.115547309982096
"429",0,0,0,0,-0.115547309982096
"430",0,1,0,0,-0.115547309982096
"431",0,0,0,1,-0.115547309982096
"432",0,0,0,0,-0.115547309982096
"433",0,0,0,0,-0.115547309982096
"434",0,0,0,0,-0.115547309982096
"435",0,0,0,0,-0.115547309982096
"436",0,0,0,0,-0.115547309982096
"437",0,0,0,0,-0.115547309982096
"438",0,0,0,0,-0.115547309982096
"439",0,0,0,0,-0.115547309982096
"440",0,0,0,0,-0.115547309982096
"441",0,0,0,0,-0.115547309982096
"442",0,1,0,0,-0.115547309982096
"443",0,0,0,0,-0.115547309982096
"444",0,1,0,0,-0.115547309982096
"445",0,0,0,0,-0.115547309982096
"446",0,0,0,0,-0.115547309982096
"447",0,1,0,0,-0.115547309982096
"448",0,0,0,0,-0.115547309982096
"449",0,0,0,0,-0.115547309982096
"450",0,0,0,1,-0.115547309982096
"451",0,0,0,0,-0.115547309982096
"452",0,0,0,0,-0.115547309982096
"453",0,0,0,0,-0.115547309982096
"454",0,0,0,0,-0.115547309982096
"455",0,0,0,0,-0.115547309982096
"456",0,0,0,0,-0.115547309982096
"457",0,0,0,0,-0.115547309982096
